Nationality,Gender,Total Duration,Flights
Afghan,M,8.852,1
American,F,4402.467,124
American,M,17194.177,758
Austrian,M,7.926,1
Belgian,M,207.656,3
Brazilian,M,9.887,1
British,F,7.885,1
British,M,185.925,1
Bulgarian,M,11.799,2
Canadian,F,33.551,3
Canadian,M,676.235,15
Chinese,F,27.245,2
Chinese,M,140.107,12
Cuban,M,7.863,1
Czech,M,7.928,1
Danish,M,9.843,1
Dutch,M,210.692,3
Emirati,M,7.896,1
French,F,25.599,2
French,M,603.332,16
German,M,855.720,16
Hungarian,M,7.865,1
Indian,M,8.029,1
Israeli,M,15.931,1
Italian,F,199.696,1
Italian,M,766.883,12
Japanese,F,38.768,3
Japanese,M,1315.998,17
Kazakh,M,359.177,6
Malaysian,M,10.885,1
Mexican,M,6.878,1
Mongolian,M,7.863,1
Polish,M,7.919,1
Romanian,M,7.903,1
Russian,F,368.348,6
Russian,M,26335.881,259
Saudi,M,7.069,1
Slovak,M,7.914,1
South African,M,9.892,1
South Korean,F,10.884,1
Spanish,M,18.782,2
Swedish,M,26.736,2
Swiss,M,42.504,4
Syrian,M,7.962,1
Ukrainian,M,1349.671,9
Vietnamese,M,7.863,1